GROUP,DESC,BUFFER START,BUFFER SIZE,CONTROL CHANGE,DATATYPE,WIDGETTYPE,COMBO DESC,INFO
PATCH,PROGRAM NAME,4,12,,ASCII,LABEL,,
PATCH,OCTAVE,16,1,,INT,,-2 -1 0 +1 +2,0:4 → -2 +2
PATCH,PORTAMENTO,17,1,5,INT,SLIDER,,0→127
PATCH,KEY TRIG,18,1,,INT,COMBO-2,OFF ON,
PATCH,VOICE MODE DEPTH,19,2,27,INT10,SLIDER,,« 27 » * 8 + « 63 » for all INT10
PATCH,VOICE MODE TYPE,21,1,6,INT,COMBO-5,LATCH ARP CHORD UNISON POLY    ,
OSC,VCO 1 WAVE,22,1,50,INT,COMBO-3,SQUARE TRIANGLE SAWTOOTH,0 64 127
OSC,VCO 1 OCTAVE,23,1,48,INT,COMBO-4,16’ 8’ 4’ 2’,0 42 84 127
OSC,VCO 1 PITCH,24,2,34,INT10,SLIDER,,
OSC,VCO 1 SHAPE,26,2,36,INT10,SLIDER,,
OSC,VCO 2 WAVE,28,1,51,INT,COMBO-3,SQUARE TRIANGLE SAWTOOTH,0 64 127
OSC,VCO 2 OCTAVE,29,1,49,INT,COMBO-4,16’ 8’ 4’ 2’,0 42 84 127
OSC,VCO 2 PITCH,30,2,35,INT10,SLIDER,,
OSC,VCO 2 SHAPE,32,2,37,INT10,SLIDER,,0 42 84 127
OSC,SYNC,34,1,80,INT,COMBO-2,OFF ON,
OSC,RING,35,1,81,INT,COMBO-2,OFF ON,
OSC,CROSS MOD DEPTH,36,2,41,INT10,SLIDER,,
OSC,MULTI TYPE,38,1,53,INT,COMBO,NOISE VPM USER,
MIXER,VCO1 LEVEL,54,2,39,INT10,SLIDER,,
MIXER,VCO2 LEVEL,56,2,40,INT10,SLIDER,,
MIXER,MULTI LEVEL,58,2,33,INT10,SLIDER,,
FILTER,CUTOFF,60,2,43,INT10,SLIDER,,
FILTER,RESONANCE,62,2,44,INT10,SLIDER,,
FILTER,CUTOFF DRIVE,64,1,84,INT,COMBO-3,0% 50% 100%,
FILTER,CUTOFF KEYBOARD TRACK,65,1,83,INT,COMBO-3,0% 50% 100%,
AMP EG,ATTACK,66,2,16,INT10,SLIDER,,
AMP EG,DECAY,68,2,17,INT10,SLIDER,,
AMP EG,SUSTAIN,70,2,18,INT10,SLIDER,,
AMP EG,RELEASE,72,2,19,INT10,SLIDER,,
EG,EG ATTACK,74,2,20,INT10,SLIDER,,
EG,EG DECAY,76,2,21,INT10,SLIDER,,
EG,EG INT,78,2,22,INT10,SLIDER,,
EG,EG TARGET,80,1,23,INT,COMBO-3,CUTOFF PITCH2 PITCH1,
LFO,WAVE,81,1,57,INT,COMBO-3,SQUARE TRIANGLE SAWTOOTH,
LFO,MODE,82,1,58,INT,COMBO-3,1-SHOOT NORMAL BPM,
LFO,RATE,83,2,24,INT10,SLIDER,,
LFO,LFO INT,85,2,26,INT10,SLIDER,,
LFO,LFO TARGET,87,1,56,INT,COMBO-3,CUTOFF SHAPE PITCH,
